unique_id,ds,LinearRegression,LinearRegression-lo-99,LinearRegression-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 09:30:00,7109785.866447642,6464312.694369267,7755259.038526018
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 09:45:00,7097113.662302406,6499080.320859304,7695147.003745507
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 10:00:00,7073079.869008611,6514675.250720894,7631484.487296328
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 10:15:00,7147193.482498346,6510346.96486688,7784040.0001298115
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 10:30:00,7078057.874328131,6524118.744973711,7631997.003682551
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 10:45:00,6960340.404639037,6469072.628808362,7451608.180469712
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 11:00:00,6933186.1497357255,6348385.541805264,7517986.757666187
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 11:15:00,6978459.2092406135,6491304.701405949,7465613.717075278
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 11:30:00,6782411.8350071,6298829.296305609,7265994.373708592
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 11:45:00,6906641.269954042,6399322.060437983,7413960.4794701
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 12:00:00,6860166.363120762,6455713.58677932,7264619.139462204
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 12:15:00,6765789.586243666,6219731.500563564,7311847.671923768
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 12:30:00,6915090.472284208,6505497.271852681,7324683.672715735
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 12:45:00,6987506.5489753615,6447090.651963972,7527922.4459867515
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 13:00:00,6964890.441146995,6427966.607198879,7501814.275095111
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 13:15:00,6814829.68078368,6230791.69029337,7398867.67127399
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 13:30:00,6908046.087885439,6053771.356750881,7762320.8190199975
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 13:45:00,6923585.680158682,5886554.731640345,7960616.628677019
